Transaction ID,Sender Account,Receiver Account,Amount (INR),Risk Score,Is Flagged,Status,Timestamp,Location,Device Info,Remark
TXN_RING_CA,ACC_RING_C,ACC_RING_A,46000.0,60.0,True,completed,2026-08-16T17:33:48.261766,,,Ring leg 3 (complete cycle)
TXN_RING_BC,ACC_RING_B,ACC_RING_C,48000.0,60.0,True,completed,2026-08-16T17:23:48.261743,,,Ring leg 2
TXN_RING_AB,ACC_RING_A,ACC_RING_B,50000.0,20.0,False,completed,2026-08-16T17:13:48.261699,,,Ring leg 1
TXN_TRACE_HOP3,ACC1003,ACC1004,95000.0,100.0,True,completed,2026-08-16T16:18:47.264606,,,Pass through transfer 2 to final holder
TXN_TRACE_HOP2,ACC1002,ACC1003,98000.0,100.0,True,completed,2026-08-16T16:03:47.264606,,,Pass through transfer 1
TXN_TRACE_HOP1,ACC1001,ACC1002,100000.0,50.0,True,completed,2026-08-16T15:53:47.264606,,,Phishing scam payment
TXN_CRITICAL_2291,ACC50081547,ACC16314613,150000.0,100.0,True,completed,2026-08-16T05:13:36.986890,,,Urgent overseas remittance
TXN_CRITICAL_4975,ACC43907404,ACC16314613,150000.0,100.0,True,completed,2026-08-16T05:11:19.042479,,,Urgent overseas remittance
TXN_TRAVEL_DEL_137,ACC65809811,ACC43249524,15000.0,20.0,False,completed,2026-08-16T05:09:07.210208,"Delhi, IN",,
TXN_RAPID_4_114,ACC20858654,ACC64246741,15000.0,25.0,False,completed,2026-08-16T05:06:06.543092,,,Rapid split transfer #4
TXN_RAPID_3_240,ACC20858654,ACC11706152,15000.0,25.0,False,completed,2026-08-16T05:05:26.543092,,,Rapid split transfer #3
TXN_RAPID_2_604,ACC20858654,ACC75385116,15000.0,25.0,False,completed,2026-08-16T05:04:46.543092,,,Rapid split transfer #2
TXN_MULE_OUT_421,ACC59760987,ACC43249524,95000.0,90.0,True,completed,2026-08-16T05:04:07.641029,,,Forwarding funds to Layer 2
TXN_TRAVEL_MUM_781,ACC65809811,ACC16314613,10000.0,,False,completed,2026-08-16T05:04:07.209415,"Mumbai, IN",,
TXN_RAPID_1_391,ACC20858654,ACC15373430,15000.0,25.0,False,completed,2026-08-16T05:04:06.543092,,,Rapid split transfer #1
TXN_RAPID_4_799,ACC20858654,ACC64246741,15000.0,25.0,False,completed,2026-08-16T05:03:48.599170,,,Rapid split transfer #4
TXN_RAPID_3_986,ACC20858654,ACC11706152,15000.0,25.0,False,completed,2026-08-16T05:03:08.599170,,,Rapid split transfer #3
TXN_RAPID_2_632,ACC20858654,ACC75385116,15000.0,0.0,False,completed,2026-08-16T05:02:28.599170,,,Rapid split transfer #2
TXN_RAPID_1_923,ACC20858654,ACC15373430,15000.0,0.0,False,completed,2026-08-16T05:01:48.599170,,,Rapid split transfer #1
TXN_DRAIN_2385,ACC70103438,ACC43249524,90000.0,70.0,True,completed,2026-08-16T04:59:06.765608,,,Account clearance transfer
TXN_DRAIN_7223,ACC57224534,ACC43249524,90000.0,70.0,True,completed,2026-08-16T04:56:48.827775,,,Account clearance transfer
TXN_MULE_IN_284,ACC16314613,ACC59760987,100000.0,,False,completed,2026-08-16T04:44:07.640283,,,Inbound victim payment
TXN_VERYLARGE_9496,ACC97828025,ACC20858654,120000.0,70.0,True,completed,2026-08-16T04:29:06.538493,,Unknown Chrome/Linux,Immediate wire transfer
TXN_VERYLARGE_9360,ACC92107699,ACC20858654,120000.0,70.0,True,completed,2026-08-16T04:26:48.595640,,Unknown Chrome/Linux,Immediate wire transfer
TXN_DEV_IPHONE_241,ACC74473089,ACC20858654,55000.0,65.0,True,completed,2026-08-16T04:14:07.424370,,iPhone 17 Pro Max,
TXN_DEV_SAMS_699,ACC74473089,ACC16314613,5000.0,,False,completed,2026-08-16T03:14:07.423669,,Samsung Galaxy S23,
TXN_LARGE_9918,ACC16314613,ACC43249524,65000.0,50.0,True,completed,2026-08-16T02:14:06.286224,,iPhone 14 Pro,High value equipment purchase
TXN_LARGE_1699,ACC16314613,ACC43249524,65000.0,50.0,True,completed,2026-08-16T02:11:48.347302,,iPhone 14 Pro,High value equipment purchase
