Alert ID,Transaction ID,Account Number,Alert Type,Risk Score,Severity,Status,Created At
ALT20260816054125768,TXN_RING_CA,ACC_RING_C,"New Account Activity, Mule Account Activity",60.0,HIGH,OPEN,2026-08-16T05:41:25.816959
ALT20260816054125331,TXN_RING_BC,ACC_RING_B,"New Account Activity, Mule Account Activity",60.0,HIGH,OPEN,2026-08-16T05:41:25.813315
ALT20260816054125694,TXN_TRACE_HOP3,ACC1003,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T05:41:25.170046
ALT20260816054125207,TXN_TRACE_HOP2,ACC1002,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T05:41:25.166654
ALT20260816054125190,TXN_TRACE_HOP1,ACC1001,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:41:25.162518
ALT20260816051407185,TXN_MULE_OUT_421,ACC59760987,"Large Transaction, New Account Activity, Mule Account Activity",90.0,CRITICAL,FALSE_POSITIVE,2026-08-16T05:14:07.643466
ALT20260816051407126,TXN_DEV_IPHONE_241,ACC74473089,"Large Transaction, New Account Activity, Device Change",65.0,HIGH,OPEN,2026-08-16T05:14:07.427792
ALT20260816051406709,TXN_CRITICAL_2291,ACC50081547,"Very Large Transaction, New Account Activity, Balance Drain",100.0,CRITICAL,OPEN,2026-08-16T05:14:06.989934
ALT20260816051406520,TXN_DRAIN_2385,ACC70103438,"Large Transaction, Balance Drain",70.0,HIGH,OPEN,2026-08-16T05:14:06.768852
ALT20260816051406718,TXN_VERYLARGE_9496,ACC97828025,"Very Large Transaction, New Account Activity",70.0,HIGH,OPEN,2026-08-16T05:14:06.542442
ALT20260816051406734,TXN_LARGE_9918,ACC16314613,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:14:06.297197
ALT20260816051149913,TXN_CRITICAL_4975,ACC43907404,"Very Large Transaction, New Account Activity, Balance Drain",100.0,CRITICAL,OPEN,2026-08-16T05:11:49.044352
ALT20260816051148721,TXN_DRAIN_7223,ACC57224534,"Large Transaction, Balance Drain",70.0,HIGH,OPEN,2026-08-16T05:11:48.830284
ALT20260816051148953,TXN_VERYLARGE_9360,ACC92107699,"Very Large Transaction, New Account Activity",70.0,HIGH,OPEN,2026-08-16T05:11:48.598614
ALT20260816051148545,TXN_LARGE_1699,ACC16314613,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:11:48.356261
ALT20260815235543_028_59d5,TXN_20260815_00028_0d8d89,ACC1003,Rapid Transfers,94.0,CRITICAL,UNDER_REVIEW,2026-08-15T23:55:43.995695
ALT20260815182731_097_b7ea,TXN_20260815_01960_34c116,ACC36297523,"Impossible Travel, New Account Activity",73.0,HIGH,UNDER_REVIEW,2026-08-15T18:27:31.370295
ALT20260815160630_048_b39c,TXN_20260815_00048_9479ec,ACC20858654,"Rapid Transfers, Balance Drain, New Account Activity",83.0,CRITICAL,UNDER_REVIEW,2026-08-15T16:06:30.388096
ALT20260815095130_061_5377,TXN_20260815_00520_673135,ACC92107699,Rapid Transfers,74.0,HIGH,OPEN,2026-08-15T09:51:30.757181
ALT20260815045630_029_8466,TXN_20260815_00029_caa32f,ACC70103438,Large Transaction,73.0,HIGH,OPEN,2026-08-15T04:56:30.565781
ALT20260815032849_013_4ed0,TXN_20260815_00013_c5c8c5,ACC57029336,New Account Activity,66.0,HIGH,UNDER_REVIEW,2026-08-15T03:28:49.714997
ALT20260814172622_087_ea68,TXN_20260814_01560_b52a36,ACC40593754,Rapid Transfers,90.0,CRITICAL,UNDER_REVIEW,2026-08-14T17:26:22.677025
ALT20260814102124_035_f443,TXN_20260814_00035_2f04bf,ACC_RING_A,Device Change,82.0,CRITICAL,UNDER_REVIEW,2026-08-14T10:21:24.000645
ALT20260813093505_106_c4c9,TXN_20260813_02320_8196ec,ACC15373430,"Balance Drain, Impossible Travel",72.0,HIGH,UNDER_REVIEW,2026-08-13T09:35:05.633503
ALT20260813084437_010_dde9,TXN_20260813_00010_bcb7cc,ACC91181015,Balance Drain,83.0,CRITICAL,UNDER_REVIEW,2026-08-13T08:44:37.095971
ALT20260813041524_119_48fa,TXN_20260813_02840_c8ad13,ACC97828025,New Account Activity,88.0,CRITICAL,OPEN,2026-08-13T04:15:24.404081
ALT20260812233300_057_bef8,TXN_20260812_00360_27dd5c,ACC91181015,Mule Account Activity,76.0,HIGH,OPEN,2026-08-12T23:33:00.919661
ALT20260812210151_045_73ca,TXN_20260812_00045_05c815,ACC1004,"Large Transaction, Balance Drain, Very Large Transaction",75.0,HIGH,CLOSED,2026-08-12T21:01:51.069339
ALT20260812135102_049_ac3f,TXN_20260812_00049_93614e,ACC1004,Mule Account Activity,79.0,HIGH,CLOSED,2026-08-12T13:51:02.031599
ALT20260812065543_016_f65b,TXN_20260812_00016_6b2347,ACC75385116,"New Account Activity, Very Large Transaction",84.0,CRITICAL,CLOSED,2026-08-12T06:55:43.004545
